"1","Bynum","Bynum","Bynum","Ortiz","Ortiz","Ortiz","Overvote","Write-in","Write-in","Write-in","Blank"
"2","","Ortiz","Write-in","","Bynum","Write-in","","","Bynum","Ortiz",""
"01-600 Ketchikan No. 1","150","57","2","180","100","1","0","0","0","0","9"
"01-610 Ketchikan No. 2","217","77","3","286","141","5","0","0","0","0","10"
"01-620 Ketchikan No. 3","217","47","6","183","73","1","1","2","0","0","12"
"01-640 North Tongass No. 1","182","43","1","109","31","3","0","0","0","0","9"
"01-650 North Tongass No. 2","354","90","5","213","66","1","0","2","0","0","11"
"01-660 Saxman","36","9","0","48","18","1","0","0","0","0","2"
"01-670 South Tongass","264","78","6","225","68","0","0","0","1","0","7"
"01-675 Coffman Cove","43","9","0","19","7","0","0","0","0","0","9"
"01-680 Metlakatla","53","39","0","193","112","0","1","0","0","0","9"
"01-690 Wrangell","287","73","4","199","109","2","0","0","0","0","11"
"District 1 - Absentee","540","150","7","768","227","8","0","7","1","2","38"
"District 1 - Early Voting","2","1","0","6","4","0","0","0","0","0","1"
"District 1  - Question","82","41","0","55","56","1","1","1","0","0","47"
"Total","2427","714","34","2484","1012","23","3","12","2","2","175"
