"1","Gray-Jackson","Gray-Jackson","Gray-Jackson","Sanders","Sanders","Sanders","Sanders","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Sanders","Write-in","","Gray-Jackson","Overvote","Write-in","","Gray-Jackson","Sanders","",""
"13-305 South Midtown No. 1","50","22","2","76","28","0","1","0","0","0","9","0"
"13-310 South Midtown No. 2","244","135","5","408","98","0","9","0","0","1","37","1"
"13-315 South Midtown No. 3","306","120","7","424","90","0","10","0","0","0","26","2"
"13-320 South Midtown No. 4","227","131","4","301","89","0","9","1","0","1","28","0"
"13-325 South Midtown No. 5","322","118","6","284","73","0","8","0","0","0","28","0"
"14-350 North Midtown No. 1","125","37","3","107","16","0","0","1","0","0","4","0"
"14-355 North Midtown No. 2","148","41","1","123","33","0","2","1","0","0","16","0"
"14-360 North Midtown No. 3","91","33","2","124","35","0","1","0","1","0","5","0"
"14-365 North Midtown No. 4","121","84","4","112","48","0","1","0","2","0","10","1"
"14-370 North Midtown No. 5","235","101","8","281","58","0","6","1","0","1","36","1"
"14-375 North Midtown No. 6","169","66","0","160","50","0","1","0","0","1","13","0"
"14-380 North Midtown No. 7","410","112","6","273","66","0","7","1","1","0","24","0"
"District 13 - Absentee","570","156","15","304","52","0","14","6","1","1","70","0"
"District 13 - Early Voting","287","102","5","255","52","0","11","3","0","0","15","0"
"District 13  - Question","12","5","0","17","4","0","1","0","0","0","91","0"
"District 14 - Absentee","778","200","14","280","62","1","2","5","3","0","71","0"
"District 14 - Early Voting","529","128","12","283","59","0","7","7","0","0","24","0"
"District 14  - Question","20","6","0","24","7","0","1","3","0","0","208","0"
"Total","4644","1597","94","3836","920","1","91","29","8","5","715","5"
